Sampling Rate : 128 Hz,Duration : 10 Minutes
Time,PPG
5.125,-32484.64453
5.1328125,-32462.48633
5.140625,-32439.11719
5.1484375,-32415.05078
5.15625,-32391.74023
5.1640625,-32370.99805
5.171875,-32353.58398
5.1796875,-32340.09961
5.1875,-32329.51758
5.1953125,-32320.50586
5.203125,-32312.61133
5.2109375,-32306.15234
5.21875,-32302.60156
5.2265625,-32302.79102
5.234375,-32305.79102
5.2421875,-32308.85547
5.25,-32308.23047
5.2578125,-32301.67188
5.265625,-32289.9707
5.2734375,-32276.42188
5.28125,-32266.24219
5.2890625,-32262.55273
5.296875,-32265.49805
5.3046875,-32272.23242
5.3125,-32277.87109
5.3203125,-32279.52539
5.328125,-32276.33984
5.3359375,-32270.05273
5.34375,-32263.66016
5.3515625,-32258.81445
5.359375,-32255.58398
5.3671875,-32252.35938
5.375,-32247.35352
5.3828125,-32240.36914
5.390625,-32232.87109
5.3984375,-32227.99023
5.40625,-32228.6582
5.4140625,-32235.52344
5.421875,-32247.35352
5.4296875,-32260.11133
5.4375,-32269.59961
5.4453125,-32273.2832
5.453125,-32270.75586
5.4609375,-32265.00586
5.46875,-32259.52734
5.4765625,-32257.0625
5.484375,-32258.73828
5.4921875,-32263.58594
5.5,-32270.39844
5.5078125,-32278.38281
5.515625,-32287.22461
5.5234375,-32296.55078
5.53125,-32304.39063
5.5390625,-32307.95117
5.546875,-32304.69922
5.5546875,-32293.70703
5.5625,-32277.8125
5.5703125,-32261.35352
5.578125,-32248.76758
5.5859375,-32242.41797
5.59375,-32240.96484
5.6015625,-32241.91602
5.609375,-32242.16016
5.6171875,-32240
5.625,-32235.63672
5.6328125,-32229.66406
5.640625,-32222.83594
5.6484375,-32215.5
5.65625,-32208.13477
5.6640625,-32202.19922
5.671875,-32199.43945
5.6796875,-32201.66797
5.6875,-32209.50977
5.6953125,-32221.26953
5.703125,-32234.79297
5.7109375,-32247.06445
5.71875,-32256.24219
5.7265625,-32262.32813
5.734375,-32266.14258
5.7421875,-32270.0332
5.75,-32275.57227
5.7578125,-32283.28125
5.765625,-32292.66602
5.7734375,-32302.06055
5.78125,-32310.11914
5.7890625,-32316.51172
5.796875,-32322.14258
5.8046875,-32328.90234
5.8125,-32337.66992
